The True Cream Moisturizing Bomb,belif,38,4163,4.6,  A cushiony cream that provides dull%2C flaky skin with an explosion of comforting moisture%2C leaving it feeling supple%2C smooth%2C and deeply nourished.,Normal|Dry|Combination|Oily,https://www.sephora.com/productimages/sku/s1686419-main-zoom.jpg?imwidth=270&imwidth=164,https://www.sephora.com/product/the-true-cream-moisturizing-bomb-P394624?skuId=1686419
Mochi Mochi Luminous Plumping Moisturizer,DAMDAM,48,75,4.7,  A hydrating moisturizer with Japanese shiso leaves and powerful antioxidants for skin like mochi—soft and plump-looking with a satin finish.,Normal|Dry|Combination|Oily,https://www.sephora.com/productimages/sku/s2463065-main-zoom.jpg?imwidth=270&pb=2020-03-sephora-clean-2019&imwidth=164,https://www.sephora.com/product/dam-dam-mochi-mochi-luminous-plumping-moisturizer-P472021?skuId=2463065
Cloud Dew Oil-Free Gel Cream Moisturizer,Summer Fridays,42,420,4.5,  An ultra-lightweight gel cream that infuses thirsty skin with three types of hyaluronic acid and ceramides for nonstop%2C visible plumping hydration.,Normal|Dry|Combination|Oily|Anti-aging,https://www.sephora.com/productimages/sku/s2412856-main-zoom.jpg?imwidth=270&pb=2020-03-sephora-clean-2019&imwidth=164,https://www.sephora.com/product/summer-fridays-cloud-dew-oil-free-gel-cream-P466153?skuId=2412856
Lotus Anti- Aging Daily Moisturizer,fresh,50,1008,4.4, A lightweight antioxidant moisturizer that smoothes the look of fine lines and wrinkles while strengthening the skin's barrier for a more youthful look.,Normal|Dry|Combination|Oily|Anti-aging,https://www.sephora.com/productimages/sku/s2316800-main-zoom.jpg?imwidth=270&pb=allure-best-2021-badge&imwidth=164,https://www.sephora.com/product/fresh-lotus-youth-preserve-moisturizer-P454378?skuId=2316800
Benefiance Wrinkle Smoothing Cream Enriched,Shiseido,70,904,4.6, An anti-aging moisturizer for dry to very dry skin that deeply hydrates and improves the appearance of wrinkles.,Dry|Anti-aging,https://www.sephora.com/productimages/sku/s2234102-main-zoom.jpg?imwidth=270&imwidth=164,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102
Jet Lag Mask,Summer Fridays,48,4148,4.1,  An enhanced%2C fragrance-free formula that nourishes%2C hydrates%2C and calms your skin with niacinamide%2C glycerin%2C hyaluronic acid%2C and antioxidants.,Normal|Dry|Combination|Oily|Anti-aging,https://www.sephora.com/productimages/sku/s2473361-main-zoom.jpg?imwidth=270&pb=2020-03-sephora-clean-2019&imwidth=164,https://www.sephora.com/product/jet-lag-mask-P429952?skuId=2473361
Virgin Marula Luxury  Face Oil,Drunk Elephant,72,1592,4.3,  A face oil rich in critical antioxidants and omegas 6 and 9 that moisturizes%2C nourishes%2C and visibly balances while restoring a youthful-looking glow. ,Normal|Dry|Combination|Oily,https://www.sephora.com/productimages/sku/s1679315-main-zoom.jpg?imwidth=270&pb=2020-03-sephora-clean-2019&imwidth=164,https://www.sephora.com/product/virgin-marula-tm-luxury-facial-oil-P392245?skuId=1679315
Peptide Moisturizer,The INKEY List,14.99,345,4,  A nurturing yet fast-absorbing daily moisturizer with a peptide duo that helps support natural collagen and hydrate skin.,Dry,https://www.sephora.com/productimages/sku/s2335610-main-zoom.jpg?imwidth=270&pb=2020-03-sephora-clean-2019&imwidth=164,https://www.sephora.com/product/the-inkey-list-peptide-moisturizer-P455369?skuId=2335610
Rose & Hyaluronic Acid Deep Hydration Moisturizer,fresh,45,1588,4.7,"  A best-selling hyaluronic acid moisturizer featuring a new clean formula with 72-hour hydration and a lightweight texture for plump%2C dewy skin.	",Normal|Dry|Combination|Oily|Anti-aging,https://www.sephora.com/productimages/sku/s2458230-main-zoom.jpg?imwidth=270&pb=2020-03-sephora-clean-2019&imwidth=164,https://www.sephora.com/product/fresh-rose-hyaluronic-acid-deep-hydration-moisturizer-P471237?skuId=2458230
Symbright® Brightening Moisturizer,The INKEY List,12.99,4,3.3,  A silky moisturizer containing 0.5% Symbright® that visibly brightens the skin while boosting moisture levels.,Normal|Dry|Combination|Oily,https://www.sephora.com/productimages/sku/s2447506-main-zoom.jpg?imwidth=270&pb=2020-03-sephora-clean-2019&imwidth=164,https://www.sephora.com/product/the-inkey-list-symbright-brightening-moisturizer-P474972?skuId=2447506
Honey Whip Peptide and Collagen Moisturizer,Wishful,43,259,4.8,  A replenishing%2C lightweight%2C whipped-cream moisturizer with Manuka honey%2C peptides%2C and collagen to soothe%2C hydrate%2C and make skin look firmer and lifted.,Normal|Dry|Combination|Oily|Anti-aging,https://www.sephora.com/productimages/sku/s2483196-main-zoom.jpg?imwidth=270&pb=2020-03-sephora-clean-2019&imwidth=164,https://www.sephora.com/product/wishful-by-huda-honey-whip-peptide-moisturizer-P475629?skuId=2483196
Moisture Surge™ 100H Auto-Replenishing Hydrator Moisturizer,CLINIQUE,41,705,4.4,  An oil-free gel-cream moisturizer that keeps skin hydrated even after washing your face.,Normal|Dry|Combination|Oily|Brightening|Anti-aging,https://www.sephora.com/productimages/sku/s2421709-main-zoom.jpg?imwidth=270&imwidth=164,https://www.sephora.com/product/clinique-moisture-surge-trade-100-hour-auto-replenishing-hydrator-P468351?skuId=2421709
